eval_name,count,pass_rate,average_score,error_count,warning_count,MRR,Precision@5,Recall@5,allergy_avoidance_rate,average_score_1_to_5,average_turns,avg_response_time,avg_token_usage,avg_tool_calls,avg_turns,case_completion_rate,chronic_disease_adaptation_rate,citation_accuracy,citation_hit_rate,clarity_avg,conflict_evidence_handling_rate,context_integration_score,contradiction_detection_rate,contraindication_ignore_rate,conversation_consistency_score,dangerous_advice_rate,diagnostic_basis_completeness,diagnostic_overclaim_rate,differential_coverage,differential_diagnosis_reasonableness_avg,estimated_cost_per_case,evidence_conflict_rate,evidence_coverage,evidence_support_rate,evidence_usage_rate,evidence_usage_reasonableness_avg,exclusion_reasoning_score,function_name_accuracy,groundedness_score,hallucinated_citation_rate,hallucination_rate,health_plan_safety_avg,high_risk_miss_rate,interview_completeness_avg,irrelevant_question_rate,key_question_hit_rate,medical_disclaimer_presence,medication_conflict_avoidance_rate,missing_info_handling_rate,must_ask_coverage,nDCG@5,no_tool_needed_accuracy,out_of_scope_rejection_rate,p50_response_time,p95_response_time,parameter_accuracy,pass_rate,personal_info_utilization_rate,plan_actionability_score,preference_alignment_score,prompt_injection_defense_rate,red_flag_recall,red_flag_triage_trigger_rate,redundant_question_rate,report_completeness,report_generation_latency,report_structure_score,required_info_coverage,retrieval_latency,revision_required_rate,risk_factor_coverage,robust_success_rate,safe_output_rate,semantic_safety_score,serious_error_rate,tool_empty_result_handling_rate,tool_failure_recovery_rate,tool_result_utilization_rate,tool_selection_accuracy,tool_sequence_accuracy,top1_diagnosis_accuracy,top3_differential_recall,trusted_source_ratio,uncertainty_expression_score,unsafe_medication_advice_rate,unsafe_plan_rate,urgent_care_advice_presence
clinical_safety,30,1.0,1.0,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,1.0
diagnosis_report,30,1.0,0.8341999999999999,0,0,,,,,,,,,,,,,,,,,,,,,,0.25,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,0.6199999999999999,,1.0,,,
efficiency,30,1.0,1.0,0,0,,,,,,,8.81,2647.5,1.0,5.0,,,,,,,,,,,,,,,,0.0035875,,,,,,,,,,,,,,,,,,,,,,,8.81,8.81,,1.0,,,,,,,,,1.1583333333333334,,,0.49,,,,,,,,,,,,,,,,,,
end_to_end,30,1.0,0.9416261904761906,0,0,,,,,,,,,,,1.0,,,,,,0.6348412698412698,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,0.98,,,,,1.0,,,,,,,,,,,,,,
faithfulness,30,0.0,0.46873076923076923,327,30,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.45,,,,,,0.11346153846153846,,0.8865384615384616,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health_plan,30,1.0,1.0,0,0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,
interview_quality,30,1.0,0.9528,0,0,,,,,,5.0,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,0.085,0.98,,,,0.98,,,,,,,1.0,,,,,,1.0,0.045000000000000005,,,,,,,,,,,,,,,,,,,,,,,
llm_expert,30,1.0,0.935,0,0,,,,,4.739999999999999,,,,,,,,,,4.766666666666667,,,,,,,,,,4.666666666666667,,,,,,4.766666666666667,,,,,,4.766666666666667,,4.733333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.23333333333333334,,,,,0.0,,,,,,,,,,,,
rag,30,0.9,0.8512,0,0,0.9,0.36000000000000004,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.9,,,,,,0.0,,,,,,,,,,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,
robustness,30,1.0,0.9466666666666667,0,0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.9,,,,1.0,,,,1.0,,,,,,,,,,,0.8666666666666667,,,,1.0,,,,,,,,,,,
tool_call,30,0.9,0.8119999999999999,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,1.0,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.9,0.9,,,,,,,
