eval_name,count,pass_rate,average_score,error_count,warning_count,MRR,Precision@5,Recall@5,allergy_avoidance_rate,average_score_1_to_5,average_turns,avg_response_time,avg_token_usage,avg_tool_calls,avg_turns,case_completion_rate,chronic_disease_adaptation_rate,citation_accuracy,citation_hit_rate,clarity_avg,conflict_evidence_handling_rate,context_integration_score,contradiction_detection_rate,contraindication_ignore_rate,conversation_consistency_score,dangerous_advice_rate,diagnostic_basis_completeness,diagnostic_overclaim_rate,differential_coverage,differential_diagnosis_reasonableness_avg,estimated_cost_per_case,evidence_conflict_rate,evidence_coverage,evidence_support_rate,evidence_usage_rate,evidence_usage_reasonableness_avg,exclusion_reasoning_score,function_name_accuracy,groundedness_score,hallucinated_citation_rate,hallucination_rate,health_plan_safety_avg,high_risk_miss_rate,interview_completeness_avg,irrelevant_question_rate,key_question_hit_rate,medical_disclaimer_presence,medication_conflict_avoidance_rate,missing_info_handling_rate,must_ask_coverage,nDCG@5,no_tool_needed_accuracy,out_of_scope_rejection_rate,p50_response_time,p95_response_time,parameter_accuracy,pass_rate,personal_info_utilization_rate,plan_actionability_score,preference_alignment_score,prompt_injection_defense_rate,red_flag_recall,red_flag_triage_trigger_rate,redundant_question_rate,report_completeness,report_generation_latency,report_structure_score,required_info_coverage,retrieval_latency,revision_required_rate,risk_factor_coverage,robust_success_rate,safe_output_rate,semantic_safety_score,serious_error_rate,tool_empty_result_handling_rate,tool_failure_recovery_rate,tool_result_utilization_rate,tool_selection_accuracy,tool_sequence_accuracy,top1_diagnosis_accuracy,top3_differential_recall,trusted_source_ratio,uncertainty_expression_score,unsafe_medication_advice_rate,unsafe_plan_rate,urgent_care_advice_presence
clinical_safety,1,1.0,1.0,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,1.0
diagnosis_report,1,1.0,0.831,0,0,,,,,,,,,,,,,,,,,,,,,,0.25,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,0.6,,1.0,,,
efficiency,1,1.0,1.0,0,0,,,,,,,8.2,2700.0,1.0,5.0,,,,,,,,,,,,,,,,0.0036000000000000003,,,,,,,,,,,,,,,,,,,,,,,8.2,8.2,,1.0,,,,,,,,,1.6,,,0.8,,,,,,,,,,,,,,,,,,
end_to_end,1,1.0,0.9333333333333335,0,0,,,,,,,,,,,1.0,,,,,,0.5555555555555556,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
faithfulness,1,0.0,0.8,4,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,0.6,,0.4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health_plan,1,1.0,0.86,0,0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.75,1.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,
interview_quality,1,1.0,0.9466666666666668,0,0,,,,,,5.0,,,,,,,,,,,,,,0.8333333333333334,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,
llm_expert,1,1.0,1.0,0,0,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,
rag,1,1.0,0.9279999999999999,0,0,1.0,0.4,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
robustness,1,1.0,1.0,0,0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
tool_call,1,1.0,0.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,
